,HF Rep 1,TTA Rep 1,FO Rep 1,TTA+FO Rep 1,HF Rep 2,TTA Rep 2,FO Rep 2,TTA+FO Rep 2,HF Rep 3,TTA Rep 3,FO Rep 3,TTA+FO Rep 3
O88618,0.3133060974,-0.1538481514,0.323398993,-0.4415218996,0.2059928641,-0.2350780932,0.1804412962,-0.1611330316,0.4088525405,-0.4202808542,0.141224913,-0.1373335752
O88637,0.2243674475,-0.0121948101,0.1640898367,-0.3302265527,0.3008988753,-0.2230434589,-0.0620787074,-0.1156732144,0.3533453931,-0.0981987209,-0.0465349824,-0.1603774379
O88656,0.2024866646,-0.4571910073,-0.0266538991,0.2924126616,NA,NA,NA,NA,0.2298371665,0.0204723457,0.2430380174,-0.5483037528
O88761,0.1775471861,0.060676679,-0.0580202963,0.0411117195,0.148819119,-0.0084497599,0.0680461597,-0.1920540214,-0.1436695868,-0.0170206895,0.0682242597,0.0958207384
O88767,0.2193033163,-0.0567307479,0.1081529663,-0.181791953,0.1865360562,-0.1398618746,0.0128859601,-0.0961697642,0.3218345787,0.1233410566,-0.2475659917,-0.1011260029
O88813,0.3641055013,-0.111710705,0.100624285,-0.3340040067,0.5887704045,-0.1460269848,-0.2346714253,-0.0141515111,0.4222573295,-0.3292472421,0.0292816455,-0.1466026368
O88867,0.5084008474,-0.1954607352,0.3886347478,-0.6199890297,0.4877845787,-0.4929526481,0.1648042433,-0.3751657975,0.5374999782,-0.5018466381,0.2547280856,-0.3285689654
O88941,0.0662092153,-0.1728420933,-0.0504525942,-0.0041524173,0.031714902,-0.1411878706,0.0440821746,-0.0652449164,0.1969775256,0.0720536437,0.2546143023,-0.4233006408
O88989,0.1694710725,0.1584514893,-0.0558643452,-0.3102826152,0.1643249085,0.0760731409,-0.2389548741,0.0920759311,0.3543353487,-0.2378431995,-0.2261173933,-0.0196178418
O88994,-0.0357521138,-0.2098733731,-0.0648943695,0.3554135295,0.3993452365,-0.2667831871,-0.2248244193,0.1298337582,0.2745475756,-0.1407313003,-0.0947287554,-0.0387192363
O89000,0.2361653802,-0.3912396756,0.1948591052,-0.0514336109,0.0433848457,-0.0290894488,0.0071981948,-0.1827998744,NA,NA,NA,NA
O89049,-0.0413707153,-0.0253344309,0.1013352572,-0.1400625476,NA,NA,NA,NA,NA,NA,NA,NA
P00173,0.1431410349,-0.2401565728,0.5074938477,-0.4297397737,0.0507068148,-0.2249485315,0.4241192533,-0.3608957895,-0.1588988432,-0.2326492491,0.1827193395,0.0536912256
P00176,-0.9821106057,0.493789431,0.0050994603,0.2441911041,NA,NA,NA,NA,-0.5747169332,0.0910272477,0.1015703739,0.3967299356
P00388,-0.3489419409,0.3816720763,-0.0123180343,-0.0198924105,-0.1513546846,0.2121952103,-0.0626613615,-0.0277551046,-0.1928602196,0.070038955,-0.0351412667,0.1823399447
P00406,0.4534046986,0.0457895333,-0.0918801868,-0.4175771633,0.1797428924,0.0478753259,-0.1270331598,-0.0896908789,NA,NA,NA,NA
P00481,0.1683325388,0.1289795229,0.3506918397,-0.5315094437,0.1155963975,-0.3281639831,0.3324815047,-0.1346550974,0.2431682349,-0.466250547,0.1792241924,0.0934537196
P00502,1.029015475,-0.578596476,0.0909578157,-0.5150530215,-0.0082566351,0.0076441023,0.5298041153,-0.3654335654,0.302164078,-0.8779958687,0.6269913544,0.0349690228
P00502;P04903,0.9227067737,-1.0288991992,0.6778795456,-0.684076784,0.2119048005,-0.1935702716,0.4909546852,-0.398083861,0.0396670627,-0.7539579079,0.6540272399,-0.0303590941
P00502;P04903;P04904;P46418;P14942,0.5808327389,-0.7761032379,0.5975947744,-0.3192715906,NA,NA,NA,NA,0.2523710519,-0.5805442373,0.130685884,-0.0954570806
P00502;P04904,NA,NA,NA,NA,NA,NA,NA,NA,0.6948161796,-1.3561015115,0.5540298187,-0.1172341832
P00507,-0.1616880864,0.2666960475,-0.1175552493,0.000608784,-0.2161703229,0.1966229116,-0.0261050769,0.1550864818,-0.2566207002,0.0803298368,0.1156105847,-0.0044054351
P00564,NA,NA,NA,NA,NA,NA,NA,NA,0.2098713834,-0.0920144087,-2.1399920478,0.0725052823
P00786,0.1047424551,0.1398573332,-0.1038915969,-0.2068487613,-0.0760250862,0.4539935744,-0.622955106,0.1278182604,0.1120794988,0.2328396473,-0.5003794099,0.1687558565
P00787,-0.4298264404,0.1071088104,-0.1479640791,0.500421964,-0.690761556,0.5430936733,-0.7880872545,0.6141137694,-0.2949297481,0.2285681507,-0.3871131887,0.4573050818
P00884,0.3596780547,-0.0308499682,0.1560775215,-0.5355602748,0.3735082745,-0.3495707275,0.1528484849,-0.1439241421,0.5175539932,-0.3727910037,0.0521087632,0.0063762349
P00884;P05065,NA,NA,NA,NA,NA,NA,NA,NA,0.5400747906,-0.5890198127,0.0007923001,-0.1413235433
P01026,0.3808201581,-0.629042201,0.1110606379,0.0165855343,0.3628654787,-0.396840656,0.541879629,-0.5722961786,0.143564288,0.117695995,0.3404391788,-0.6354122417
P01048,0.5282440663,-1.425481774,-0.1198715154,1.3969442037,NA,NA,NA,NA,-0.4345020362,1.0092654483,0.5356671798,-0.7535010562
P01048;P08932,0.2878739626,-1.3859657978,-0.2441458905,0.7246611395,NA,NA,NA,NA,-0.4369623415,0.2350553274,0.3200614477,-0.2454622075
P01835,0.3956544907,-1.4785354423,0.2296518909,0.4875400577,NA,NA,NA,NA,0.0426298249,0.1825870543,-0.3150747672,0.0443778938
P01836,0.9011814726,0.2771625115,0.7498546817,-2.1023426275,NA,NA,NA,NA,NA,NA,NA,NA
